second,Volt
+886.000E-06,+1.673437595E+00
+888.000E-06,+1.642187595E+00
+890.000E-06,+1.610937595E+00
+892.000E-06,+1.579687595E+00
+894.000E-06,+1.548437595E+00
+896.000E-06,+1.517187595E+00
+898.000E-06,+1.489843845E+00
+900.000E-06,+1.458593845E+00
+902.000E-06,+1.431250095E+00
+904.000E-06,+1.407812595E+00
+906.000E-06,+1.380468845E+00
+908.000E-06,+1.357031345E+00
+910.000E-06,+1.321875095E+00
+912.000E-06,+1.306250095E+00
+914.000E-06,+1.282812595E+00
+916.000E-06,+1.255468845E+00
+918.000E-06,+1.232031345E+00
+920.000E-06,+1.212500095E+00
+922.000E-06,+1.189062595E+00
+924.000E-06,+1.169531345E+00
+926.000E-06,+1.146093845E+00
+928.000E-06,+1.130468845E+00
+930.000E-06,+1.110937595E+00
+932.000E-06,+1.091406345E+00
+934.000E-06,+1.071875095E+00
+936.000E-06,+1.056250095E+00
+938.000E-06,+1.040625095E+00
+940.000E-06,+1.025000095E+00
+942.000E-06,+1.009375095E+00
+944.000E-06,+997.656345E-03
+946.000E-06,+982.031345E-03
+948.000E-06,+966.406345E-03
+950.000E-06,+954.687595E-03
+952.000E-06,+946.875095E-03
+954.000E-06,+931.250095E-03
+956.000E-06,+927.343845E-03
+958.000E-06,+915.625095E-03
+960.000E-06,+907.812595E-03
