second,Volt,Volt2
-12.000E-06,+2.402500018E+00,+257.500004E-03
-11.000E-06,+2.402500018E+00,+257.500004E-03
-10.000E-06,+2.557492270E+00,+257.500004E-03
-9.000E-06,+2.557500020E+00,+251.250285E-03
-8.000E-06,+2.247512417E+00,+257.499754E-03
-7.000E-06,+2.402494593E+00,+263.749785E-03
-6.000E-06,+2.402500018E+00,+263.750004E-03
-5.000E-06,+2.402500018E+00,+257.500160E-03
-4.000E-06,+2.402500018E+00,+257.500004E-03
-3.000E-06,+2.402500018E+00,+257.500004E-03
-2.000E-06,+2.402500018E+00,+257.500004E-03
-1.000E-06,+2.402500018E+00,+263.749973E-03
+0.0E+00,+2.402500018E+00,+257.500004E-03
+1.000E-06,+2.402500018E+00,+257.499973E-03
+2.000E-06,+2.402500018E+00,+251.250004E-03
+3.000E-06,+2.402497693E+00,+251.250098E-03
+4.000E-06,+2.247500017E+00,+257.499879E-03
+5.000E-06,+2.247503892E+00,+251.250160E-03
+6.000E-06,+2.402500018E+00,+257.499817E-03
+7.000E-06,+2.402494593E+00,+251.250223E-03
+8.000E-06,+2.247506217E+00,+257.499754E-03
+9.000E-06,+2.402493043E+00,+251.250285E-03
+10.000E-06,+2.247500017E+00,+257.500004E-03
+11.000E-06,+2.247500017E+00,+257.500004E-03
+12.000E-06,+2.247509317E+00,+257.499629E-03
+13.000E-06,+2.402500018E+00,+251.250004E-03
+14.000E-06,+2.402500018E+00,+251.250441E-03
+15.000E-06,+2.402500018E+00,+257.499535E-03
